Date,Open,High,Low,Close,Volume,Adj_Close
4/28/16,97.61,97.88,94.25,94.83,82242690,94.83
4/27/16,96,98.71,95.68,97.82,114602142,97.82
4/26/16,103.91,105.3,103.91,104.35,56016165,104.35
4/25/16,105,105.65,104.51,105.08,28031588,105.08
4/22/16,105.01,106.48,104.62,105.68,33683121,105.68
4/21/16,106.93,106.93,105.52,105.97,31552525,105.97
4/20/16,106.64,108.09,106.06,107.13,30611030,107.13
4/19/16,107.88,108,106.23,106.91,32384879,106.91
4/18/16,108.89,108.95,106.94,107.48,60821461,107.48
4/15/16,112.11,112.3,109.73,109.85,46938969,109.85
4/14/16,111.62,112.39,111.33,112.1,25473923,112.1
4/13/16,110.8,112.34,110.8,112.04,33257316,112.04
4/12/16,109.34,110.5,108.66,110.44,27232325,110.44
4/11/16,108.97,110.61,108.83,109.02,29407518,109.02
4/8/16,108.91,109.77,108.17,108.66,23581740,108.66
4/7/16,109.95,110.42,108.121,108.54,31801870,108.54
4/6/16,110.23,110.98,109.2,110.96,26404077,110.96
4/5/16,109.51,110.73,109.42,109.81,26578652,109.81
4/4/16,110.42,112.19,110.27,111.12,37356204,111.12
4/1/16,108.78,110,108.2,109.99,25873950,109.99
3/31/16,109.72,109.9,108.88,108.99,25888449,108.99
3/30/16,108.65,110.42,108.6,109.56,45601149,109.56
3/29/16,104.89,107.79,104.88,107.68,31190083,107.68
3/28/16,106,106.19,105.06,105.19,19411372,105.19
3/24/16,105.47,106.25,104.89,105.67,26132955,105.67
3/23/16,106.48,107.07,105.9,106.13,25703495,106.13
3/22/16,105.25,107.29,105.21,106.72,32444375,106.72
3/21/16,105.93,107.65,105.1401,105.91,35502678,105.91
3/18/16,106.34,106.5,105.19,105.92,44205171,105.92
3/17/16,105.52,106.47,104.96,105.8,34420705,105.8
3/16/16,104.61,106.31,104.59,105.97,38303493,105.97
3/15/16,103.96,105.18,103.85,104.58,40067734,104.58
3/14/16,101.91,102.91,101.78,102.52,25076062,102.52
3/11/16,102.24,102.28,101.5,102.26,27408237,102.26
3/10/16,101.41,102.24,100.15,101.17,33513577,101.17
3/9/16,101.31,101.58,100.27,101.12,27201683,101.12
3/8/16,100.78,101.76,100.4,101.03,31182194,101.03
3/7/16,102.39,102.83,100.96,101.87,35915810,101.87
3/4/16,102.37,103.75,101.37,103.01,46055100,103.01
3/3/16,100.58,101.7099,100.45,101.5,36955742,101.5
3/2/16,100.51,100.89,99.64,100.75,33169560,100.75
3/1/16,97.65,100.77,97.42,100.53,50407147,100.53
2/29/16,96.86,98.23,96.65,96.69,35216277,96.69
2/26/16,97.2,98.0237,96.58,96.91,28991131,96.91
2/25/16,96.05,96.76,95.25,96.76,27582659,96.76
2/24/16,93.98,96.38,93.32,96.1,36255745,96.1
2/23/16,96.4,96.5,94.55,94.69,31942633,94.69
2/22/16,96.31,96.9,95.92,96.88,34280758,96.88
2/19/16,96,96.7599,95.8,96.04,35374173,96.04
2/18/16,98.84,98.89,96.091,96.26,39020983,96.26
2/17/16,96.67,98.21,96.15,98.12,44863243,98.12
2/16/16,95.02,96.85,94.61,96.64,49057916,96.64
2/12/16,94.19,94.5,93.01,93.99,40351381,93.99
2/11/16,93.79,94.72,92.59,93.7,50074711,93.7
2/10/16,95.92,96.35,94.1,94.27,42343601,94.27
2/9/16,94.29,95.94,93.93,94.99,44331195,94.99
2/8/16,93.13,95.7,93.04,95.01,54021375,95.01
2/5/16,96.52,96.92,93.69,94.02,46418064,94.02
2/4/16,95.86,97.33,95.19,96.6,46471652,96.6
2/3/16,95,96.84,94.08,96.35,45964294,95.83412273
2/2/16,95.42,96.04,94.28,94.48,37357215,93.97413509
2/1/16,96.47,96.71,95.4,96.43,40943541,95.9136944
1/29/16,94.79,97.34,94.35,97.34,64416504,96.81882208
1/28/16,93.79,94.52,92.39,94.09,55678825,93.58622323
1/27/16,96.04,96.6289,93.34,93.42,133369674,92.91981054
1/26/16,99.93,100.88,98.07,99.99,75077002,99.45463344
1/25/16,101.52,101.53,99.21,99.44,51794525,98.90757825
1/22/16,98.63,101.46,98.37,101.42,65800467,100.8769769
1/21/16,97.06,97.88,94.94,96.3,52161463,95.78439044
1/20/16,95.1,98.1897,93.42,96.79,72334416,96.27176689
1/19/16,98.41,98.65,95.5,96.66,53087747,96.14246293
1/15/16,96.2,97.71,95.36,97.13,79833891,96.60994646
