Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
4/28/16,119.575,120.79,116.23,116.73,87110080,0,1,119.575,120.79,116.23,116.73,87110080
4/27/16,107.94,108.94,106.31,108.89,52213107,0,1,107.94,108.94,106.31,108.89,52213107
4/26/16,110.49,110.5,108.15,108.76,22521534,0,1,110.49,110.5,108.15,108.76,22521534
4/25/16,109.87,110.67,109.07,110.1,21017895,0,1,109.87,110.67,109.07,110.1,21017895
4/22/16,111.21,111.75,109.01,110.56,38458201,0,1,111.21,111.75,109.01,110.56,38458201
4/21/16,112.55,114.04,112.31,113.44,20875230,0,1,112.55,114.04,112.31,113.44,20875230
4/20/16,112.43,113.27,111.56,112.42,21027901,0,1,112.43,113.27,111.56,112.42,21027901
4/19/16,111.1,112.45,109.16,112.29,30210455,0,1,111.1,112.45,109.16,112.29,30210455
4/18/16,109.74,110.81,109.2,110.45,21167199,0,1,109.74,110.81,109.2,110.45,21167199
4/15/16,110.79,110.97,109.2,109.64,20922803,0,1,110.79,110.97,109.2,109.64,20922803
4/14/16,110.62,112.04,110.26,110.84,28473322,0,1,110.62,112.04,110.26,110.84,28473322
4/13/16,112.23,112.65,106.52,110.51,88227393,0,1,112.23,112.65,106.52,110.51,88227393
4/12/16,109.34,111.1645,108.99,110.61,26248081,0,1,109.34,111.1645,108.99,110.61,26248081
4/11/16,110.7,110.91,108.77,108.99,39762304,0,1,110.7,110.91,108.77,108.99,39762304
4/8/16,114.25,114.33,109.9,110.63,48497808,0,1,114.25,114.33,109.9,110.63,48497808
4/7/16,113.79,114.89,113.0663,113.64,20714537,0,1,113.79,114.89,113.0663,113.64,20714537
4/6/16,112.47,113.81,112.42,113.71,20814640,0,1,112.47,113.81,112.42,113.71,20814640
4/5/16,112.11,113.32,111.9,112.22,22962365,0,1,112.11,113.32,111.9,112.22,22962365
4/4/16,114.07,114.55,111.61,112.55,48487913,0,1,114.07,114.55,111.61,112.55,48487913
4/1/16,113.75,116.17,113.35,116.06,24760504,0,1,113.75,116.17,113.35,116.06,24760504
3/31/16,114.7,115.01,113.7682,114.1,21207526,0,1,114.7,115.01,113.7682,114.1,21207526
3/30/16,116.73,116.99,114.355,114.7,33235184,0,1,116.73,116.99,114.355,114.7,33235184
3/29/16,113.83,116.32,113.64,116.14,29825340,0,1,113.83,116.32,113.64,116.14,29825340
3/28/16,113.32,114.5889,112.95,113.69,21351751,0,1,113.32,114.5889,112.95,113.69,21351751
3/24/16,112.13,113.09,111.68,113.05,17839119,0,1,112.13,113.09,111.68,113.05,17839119
3/23/16,112.01,113.19,112,112.54,18561974,0,1,112.01,113.19,112,112.54,18561974
3/22/16,111.36,112.88,111.17,112.25,19001076,0,1,111.36,112.88,111.17,112.25,19001076
3/21/16,111.66,112.37,111.03,111.85,18447974,0,1,111.66,112.37,111.03,111.85,18447974
3/18/16,111.56,112.42,110.27,111.45,36256877,0,1,111.56,112.42,110.27,111.45,36256877
3/17/16,112.15,112.69,110.73,111.02,24241247,0,1,112.15,112.69,110.73,111.02,24241247
3/16/16,110.49,112.5,110.1,112.18,24744778,0,1,110.49,112.5,110.1,112.18,24744778
3/15/16,109.11,110.83,108.84,110.67,17618460,0,1,109.11,110.83,108.84,110.67,17618460
3/14/16,109.28,110.33,108.77,109.89,17249365,0,1,109.28,110.33,108.77,109.89,17249365
3/11/16,108.48,109.42,107.92,109.41,20697553,0,1,108.48,109.42,107.92,109.41,20697553
3/10/16,107.91,108.66,105.7699,107.32,24854284,0,1,107.91,108.66,105.7699,107.32,24854284
3/9/16,106.7,107.51,105.49,107.51,20493305,0,1,106.7,107.51,105.49,107.51,20493305
3/8/16,104.78,107.37,104.4,105.93,25204666,0,1,104.78,107.37,104.4,105.93,25204666
3/7/16,108.07,108.07,104.72,105.73,31534055,0,1,108.07,108.07,104.72,105.73,31534055
3/4/16,110.05,110.05,107.93,108.39,24938858,0,1,110.05,110.05,107.93,108.39,24938858
3/3/16,110.25,110.3,108.54,109.58,21353092,0,1,110.25,110.3,108.54,109.58,21353092
