Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
4/28/16,723.29,729.26,703.2,705.06,3129502,0,1,723.29,729.26,703.2,705.06,3129502
4/27/16,725.32,727.15,709.08,721.46,3313137,0,1,725.32,727.15,709.08,721.46,3313137
4/26/16,744.42,745.59,720.32,725.37,2793210,0,1,744.42,745.59,720.32,725.37,2793210
4/25/16,735.35,744.88,735.1,742.21,2472061,0,1,735.35,744.88,735.1,742.21,2472061
4/22/16,743.91,753.92,730.37,737.77,7039948,0,1,743.91,753.92,730.37,737.77,7039948
4/21/16,777.31,781.6799,771.55,780,3881420,0,1,777.31,781.6799,771.55,780,3881420
4/20/16,779.16,779.66,771.27,774.92,1713088,0,1,779.16,779.66,771.27,774.92,1713088
4/19/16,790.5,790.95,770.27,776.25,2197615,0,1,790.5,790.95,770.27,776.25,2197615
4/18/16,780.19,788.55,777.61,787.68,1677015,0,1,780.19,788.55,777.61,787.68,1677015
4/15/16,775.5,780.93,774.9301,780,1585584,0,1,775.5,780.93,774.9301,780,1585584
4/14/16,775.36,779.61,773.22,775.39,1349610,0,1,775.36,779.61,773.22,775.39,1349610
4/13/16,770.31,775.75,764.5908,771.91,1771308,0,1,770.31,775.75,764.5908,771.91,1771308
4/12/16,758.43,764.92,751.565,764.32,1369358,0,1,758.43,764.92,751.565,764.32,1369358
4/11/16,765.45,767.22,757.34,757.54,1588692,0,1,765.45,767.22,757.34,757.54,1588692
4/8/16,765.87,767.13,755.77,759.47,1171867,0,1,765.87,767.13,755.77,759.47,1171867
4/7/16,765.32,769.36,757.5,760.12,1274852,0,1,765.32,769.36,757.5,760.12,1274852
4/6/16,757.84,768.42,756.3,768.07,1265577,0,1,757.84,768.42,756.3,768.07,1265577
4/5/16,758.13,762.87,755.6,758.57,1223905,0,1,758.13,762.87,755.6,758.57,1223905
4/4/16,769.51,772.44,761.785,765.12,1346424,0,1,769.51,772.44,761.785,765.12,1346424
4/1/16,757.16,770.04,755.2,769.67,1583698,0,1,757.16,770.04,755.2,769.67,1583698
3/31/16,768.34,769.0842,758.25,762.9,1627669,0,1,768.34,769.0842,758.25,762.9,1627669
3/30/16,768.21,777.31,767.58,768.34,2019755,0,1,768.21,777.31,767.58,768.34,2019755
3/29/16,753.68,767.18,748.29,765.89,2003061,0,1,753.68,767.18,748.29,765.89,2003061
3/28/16,756.17,758.3,752.04,753.28,1083823,0,1,756.17,758.3,752.04,753.28,1083823
3/24/16,751.2,757.555,750.5,754.84,1555844,0,1,751.2,757.555,750.5,754.84,1555844
3/23/16,763.35,765.39,756.03,757.56,1233854,0,1,763.35,765.39,756.03,757.56,1233854
3/22/16,758.44,765,757.875,760.05,1104784,0,1,758.44,765,757.875,760.05,1104784
3/21/16,753.91,763.34,751.27,762.16,1438658,0,1,753.91,763.34,751.27,762.16,1438658
3/18/16,761.63,762.14,751.82,755.41,2811518,0,1,761.63,762.14,751.82,755.41,2811518
3/17/16,757.65,765.34,757.36,758.48,2228244,0,1,757.65,765.34,757.36,758.48,2228244
3/16/16,749.05,759,746.5,757.36,1465285,0,1,749.05,759,746.5,757.36,1465285
