@relation Stocks
@attribute feature_0 numeric
@attribute feature_1 numeric
@attribute feature_2 numeric
@attribute feature_3 numeric
@attribute feature_4 numeric
@attribute feature_5 numeric
@attribute feature_6 numeric
@attribute feature_7 numeric
@attribute feature_8 numeric
@attribute feature_9 numeric
@attribute feature_10 numeric
@attribute feature_11 numeric
@attribute feature_12 numeric
@attribute feature_13 numeric
@attribute feature_14 numeric
@attribute feature_15 numeric
@attribute feature_16 numeric
@attribute feature_17 numeric
@attribute feature_18 numeric
@attribute feature_19 numeric
@attribute feature_20 numeric
@attribute feature_21 numeric
@attribute feature_22 numeric
@attribute feature_23 numeric
@attribute feature_24 numeric
@attribute feature_25 numeric
@attribute feature_26 numeric
@attribute feature_27 numeric
@attribute feature_28 numeric
@attribute feature_29 numeric
@attribute feature_30 numeric
@attribute feature_31 numeric
@attribute feature_32 numeric
@attribute feature_33 numeric
@attribute feature_34 numeric
@attribute feature_35 numeric
@attribute feature_36 numeric
@attribute feature_37 numeric
@attribute feature_38 numeric
@attribute feature_39 numeric
@attribute feature_40 numeric
@attribute feature_41 numeric
@attribute feature_42 numeric
@attribute feature_43 numeric
@attribute feature_44 numeric
@attribute feature_45 numeric
@attribute feature_46 numeric
@attribute feature_47 numeric
@attribute feature_48 numeric
@attribute feature_49 numeric
@attribute feature_50 numeric
@attribute feature_51 numeric
@attribute feature_52 numeric
@attribute feature_53 numeric
@attribute feature_54 numeric
@attribute feature_55 numeric
@attribute feature_56 numeric
@attribute feature_57 numeric
@attribute feature_58 numeric
@attribute feature_59 numeric
@attribute feature_60 numeric
@attribute feature_61 numeric
@attribute feature_62 numeric
@attribute feature_63 numeric
@attribute feature_64 numeric
@attribute feature_65 numeric
@attribute feature_66 numeric
@attribute feature_67 numeric
@attribute feature_68 numeric
@attribute feature_69 numeric
@attribute feature_70 numeric
@attribute feature_71 numeric
@attribute feature_72 numeric
@attribute feature_73 numeric
@attribute feature_74 numeric
@attribute feature_75 numeric
@attribute feature_76 numeric
@attribute feature_77 numeric
@attribute feature_78 numeric
@attribute feature_79 numeric
@attribute feature_80 numeric
@attribute feature_81 numeric
@attribute feature_82 numeric
@attribute feature_83 numeric
@attribute feature_84 numeric
@attribute feature_85 numeric
@attribute feature_86 numeric
@attribute feature_87 numeric
@attribute feature_88 numeric
@attribute feature_89 numeric
@attribute feature_90 numeric
@attribute feature_91 numeric
@attribute feature_92 numeric
@attribute feature_93 numeric
@attribute feature_94 numeric
@attribute feature_95 numeric
@attribute feature_96 numeric
@attribute feature_97 numeric
@attribute feature_98 numeric
@attribute feature_99 numeric
@attribute feature_100 numeric
@attribute feature_101 numeric
@attribute feature_102 numeric
@attribute feature_103 numeric
@attribute feature_104 numeric
@attribute feature_105 numeric
@attribute feature_106 numeric
@attribute feature_107 numeric
@attribute feature_108 numeric
@attribute feature_109 numeric
@attribute feature_110 numeric
@attribute feature_111 numeric
@attribute feature_112 numeric
@attribute feature_113 numeric
@attribute feature_114 numeric
@attribute feature_115 numeric
@attribute feature_116 numeric
@attribute feature_117 numeric
@attribute feature_118 numeric
@attribute feature_119 numeric
@attribute feature_120 numeric
@attribute feature_121 numeric
@attribute feature_122 numeric
@attribute feature_123 numeric
@attribute feature_124 numeric
@attribute feature_125 numeric
@attribute feature_126 numeric
@attribute feature_127 numeric
@attribute feature_128 numeric
@attribute feature_129 numeric
@attribute feature_130 numeric
@attribute feature_131 numeric
@attribute feature_132 numeric
@attribute feature_133 numeric
@attribute feature_134 numeric
@attribute feature_135 numeric
@attribute feature_136 numeric
@attribute feature_137 numeric
@attribute feature_138 numeric
@attribute feature_139 numeric
@attribute feature_140 numeric
@attribute feature_141 numeric
@attribute feature_142 numeric
@attribute feature_143 numeric
@attribute feature_144 numeric
@attribute feature_145 numeric
@attribute feature_146 numeric
@attribute feature_147 numeric
@attribute feature_148 numeric
@attribute feature_149 numeric
@attribute feature_150 numeric
@attribute feature_151 numeric
@attribute feature_152 numeric
@attribute feature_153 numeric
@attribute feature_154 numeric
@attribute feature_155 numeric
@attribute feature_156 numeric
@attribute feature_157 numeric
@attribute feature_158 numeric
@attribute feature_159 numeric
@attribute feature_160 numeric
@attribute feature_161 numeric
@attribute feature_162 numeric
@attribute feature_163 numeric
@attribute feature_164 numeric
@attribute feature_165 numeric
@attribute feature_166 numeric
@attribute feature_167 numeric
@attribute feature_168 numeric
@attribute feature_169 numeric
@attribute feature_170 numeric
@attribute feature_171 numeric
@attribute feature_172 numeric
@attribute feature_173 numeric
@attribute feature_174 numeric
@attribute feature_175 numeric
@attribute feature_176 numeric
@attribute feature_177 numeric
@attribute feature_178 numeric
@attribute feature_179 numeric
@attribute feature_180 numeric
@attribute feature_181 numeric
@attribute feature_182 numeric
@attribute feature_183 numeric
@attribute feature_184 numeric
@attribute feature_185 numeric
@attribute feature_186 numeric
@attribute feature_187 numeric
@attribute feature_188 numeric
@attribute feature_189 numeric
@attribute feature_190 numeric
@attribute feature_191 numeric
@attribute feature_192 numeric
@attribute feature_193 numeric
@attribute feature_194 numeric
@attribute feature_195 numeric
@attribute feature_196 numeric
@attribute feature_197 numeric
@attribute feature_198 numeric
@attribute feature_199 numeric
@attribute feature_200 numeric
@attribute feature_201 numeric
@attribute feature_202 numeric
@attribute feature_203 numeric
@attribute feature_204 numeric
@attribute feature_205 numeric
@attribute feature_206 numeric
@attribute feature_207 numeric
@attribute feature_208 numeric
@attribute feature_209 numeric
@attribute feature_210 numeric
@attribute feature_211 numeric
@attribute feature_212 numeric
@attribute feature_213 numeric
@attribute feature_214 numeric
@attribute feature_215 numeric
@attribute feature_216 numeric
@attribute feature_217 numeric
@attribute feature_218 numeric
@attribute feature_219 numeric
@attribute feature_220 numeric
@attribute feature_221 numeric
@attribute feature_222 numeric
@attribute feature_223 numeric
@attribute feature_224 numeric
@attribute feature_225 numeric
@attribute feature_226 numeric
@attribute feature_227 numeric
@attribute feature_228 numeric
@attribute feature_229 numeric
@attribute feature_230 numeric
@attribute feature_231 numeric
@attribute feature_232 numeric
@attribute feature_233 numeric
@attribute feature_234 numeric
@attribute feature_235 numeric
@attribute feature_236 numeric
@attribute feature_237 numeric
@attribute feature_238 numeric
@attribute feature_239 numeric
@attribute feature_240 numeric
@attribute feature_241 numeric
@attribute feature_242 numeric
@attribute feature_243 numeric
@attribute feature_244 numeric
@attribute feature_245 numeric
@attribute feature_246 numeric
@attribute feature_247 numeric
@attribute feature_248 numeric
@attribute feature_249 numeric
@attribute 'class' {0, 1}
@data
88.91,89.0,86.58,86.6,683989.0,87.57,88.93,87.31,88.85,522947.0,87.49,88.32,87.2101,88.27,522156.0,87.35,87.88,86.91,87.33,452242.0,87.76,88.0,87.09,87.34,500820.0,87.54,88.02,87.05,87.68,622776.0,88.75,88.95,87.715,87.92,849589.0,88.54,89.17,87.75,88.27,710762.0,89.31,89.9,88.38,88.51,445548.0,89.46,89.62,88.82,89.0,526785.0,88.78,89.12,88.4,89.09,1408862.0,87.82,88.83,87.51,88.75,627762.0,88.78,89.15,87.63,87.75,414978.0,87.47,88.04,86.99,87.88,473755.0,88.35,88.4,87.19,87.66,632503.0,87.5,88.61,87.13,88.35,590679.0,87.35,88.0,87.05,87.61,685807.0,88.59,88.63,87.25,87.58,938964.0,87.32,88.915,87.12,88.68,1298683.0,86.76,87.61,85.76,87.4,904098.0,85.21,87.89,85.21,86.87,891091.0,84.61,85.52,84.5,85.32,488370.0,85.16,85.31,84.34,84.64,647907.0,84.45,85.3,84.12,85.17,734087.0,84.62,84.85,83.95,84.41,614868.0,83.42,84.6,83.36,84.31,831688.0,84.58,84.6,83.245,83.76,1048035.0,84.5,84.79,83.615,84.12,680598.0,82.74,84.34,82.54,84.0,610322.0,83.63,84.42,82.66,83.16,655183.0,82.36,83.76,82.11,83.68,1311543.0,80.81,82.02,80.73,82.01,1387520.0,79.53,80.94,79.2,80.74,995876.0,78.03,79.85,77.7,79.69,3226960.0,81.78,82.12,80.7,80.99,1778326.0,81.08,81.99,80.93,81.84,848545.0,79.35,80.38,79.35,80.35,650189.0,79.46,80.25,79.0,79.34,586609.0,77.67,79.64,77.291,78.97,917630.0,78.83,78.92,76.73,78.17,1008178.0,79.41,80.66,79.28,80.0,816768.0,79.45,80.14,79.05,79.08,400654.0,80.0,80.74,79.59,79.61,438062.0,80.38,80.83,79.55,79.86,601770.0,79.66,80.44,78.97,80.44,866725.0,80.69,80.91,79.48,79.48,441999.0,81.17,81.56,80.97,81.09,680149.0,80.37,81.24,80.37,80.7,645227.0,79.96,80.68,79.26,80.06,1081433.0,80.28,80.33,79.58,79.98,961515.0,0
86.63,87.11,86.05,86.23,615943.0,88.91,89.0,86.58,86.6,683989.0,87.57,88.93,87.31,88.85,522947.0,87.49,88.32,87.2101,88.27,522156.0,87.35,87.88,86.91,87.33,452242.0,87.76,88.0,87.09,87.34,500820.0,87.54,88.02,87.05,87.68,622776.0,88.75,88.95,87.715,87.92,849589.0,88.54,89.17,87.75,88.27,710762.0,89.31,89.9,88.38,88.51,445548.0,89.46,89.62,88.82,89.0,526785.0,88.78,89.12,88.4,89.09,1408862.0,87.82,88.83,87.51,88.75,627762.0,88.78,89.15,87.63,87.75,414978.0,87.47,88.04,86.99,87.88,473755.0,88.35,88.4,87.19,87.66,632503.0,87.5,88.61,87.13,88.35,590679.0,87.35,88.0,87.05,87.61,685807.0,88.59,88.63,87.25,87.58,938964.0,87.32,88.915,87.12,88.68,1298683.0,86.76,87.61,85.76,87.4,904098.0,85.21,87.89,85.21,86.87,891091.0,84.61,85.52,84.5,85.32,488370.0,85.16,85.31,84.34,84.64,647907.0,84.45,85.3,84.12,85.17,734087.0,84.62,84.85,83.95,84.41,614868.0,83.42,84.6,83.36,84.31,831688.0,84.58,84.6,83.245,83.76,1048035.0,84.5,84.79,83.615,84.12,680598.0,82.74,84.34,82.54,84.0,610322.0,83.63,84.42,82.66,83.16,655183.0,82.36,83.76,82.11,83.68,1311543.0,80.81,82.02,80.73,82.01,1387520.0,79.53,80.94,79.2,80.74,995876.0,78.03,79.85,77.7,79.69,3226960.0,81.78,82.12,80.7,80.99,1778326.0,81.08,81.99,80.93,81.84,848545.0,79.35,80.38,79.35,80.35,650189.0,79.46,80.25,79.0,79.34,586609.0,77.67,79.64,77.291,78.97,917630.0,78.83,78.92,76.73,78.17,1008178.0,79.41,80.66,79.28,80.0,816768.0,79.45,80.14,79.05,79.08,400654.0,80.0,80.74,79.59,79.61,438062.0,80.38,80.83,79.55,79.86,601770.0,79.66,80.44,78.97,80.44,866725.0,80.69,80.91,79.48,79.48,441999.0,81.17,81.56,80.97,81.09,680149.0,80.37,81.24,80.37,80.7,645227.0,79.96,80.68,79.26,80.06,1081433.0,0
85.84,86.43,85.11,85.15,630877.0,86.63,87.11,86.05,86.23,615943.0,88.91,89.0,86.58,86.6,683989.0,87.57,88.93,87.31,88.85,522947.0,87.49,88.32,87.2101,88.27,522156.0,87.35,87.88,86.91,87.33,452242.0,87.76,88.0,87.09,87.34,500820.0,87.54,88.02,87.05,87.68,622776.0,88.75,88.95,87.715,87.92,849589.0,88.54,89.17,87.75,88.27,710762.0,89.31,89.9,88.38,88.51,445548.0,89.46,89.62,88.82,89.0,526785.0,88.78,89.12,88.4,89.09,1408862.0,87.82,88.83,87.51,88.75,627762.0,88.78,89.15,87.63,87.75,414978.0,87.47,88.04,86.99,87.88,473755.0,88.35,88.4,87.19,87.66,632503.0,87.5,88.61,87.13,88.35,590679.0,87.35,88.0,87.05,87.61,685807.0,88.59,88.63,87.25,87.58,938964.0,87.32,88.915,87.12,88.68,1298683.0,86.76,87.61,85.76,87.4,904098.0,85.21,87.89,85.21,86.87,891091.0,84.61,85.52,84.5,85.32,488370.0,85.16,85.31,84.34,84.64,647907.0,84.45,85.3,84.12,85.17,734087.0,84.62,84.85,83.95,84.41,614868.0,83.42,84.6,83.36,84.31,831688.0,84.58,84.6,83.245,83.76,1048035.0,84.5,84.79,83.615,84.12,680598.0,82.74,84.34,82.54,84.0,610322.0,83.63,84.42,82.66,83.16,655183.0,82.36,83.76,82.11,83.68,1311543.0,80.81,82.02,80.73,82.01,1387520.0,79.53,80.94,79.2,80.74,995876.0,78.03,79.85,77.7,79.69,3226960.0,81.78,82.12,80.7,80.99,1778326.0,81.08,81.99,80.93,81.84,848545.0,79.35,80.38,79.35,80.35,650189.0,79.46,80.25,79.0,79.34,586609.0,77.67,79.64,77.291,78.97,917630.0,78.83,78.92,76.73,78.17,1008178.0,79.41,80.66,79.28,80.0,816768.0,79.45,80.14,79.05,79.08,400654.0,80.0,80.74,79.59,79.61,438062.0,80.38,80.83,79.55,79.86,601770.0,79.66,80.44,78.97,80.44,866725.0,80.69,80.91,79.48,79.48,441999.0,81.17,81.56,80.97,81.09,680149.0,80.37,81.24,80.37,80.7,645227.0,1
86.26,86.58,84.57,84.98,539265.0,85.84,86.43,85.11,85.15,630877.0,86.63,87.11,86.05,86.23,615943.0,88.91,89.0,86.58,86.6,683989.0,87.57,88.93,87.31,88.85,522947.0,87.49,88.32,87.2101,88.27,522156.0,87.35,87.88,86.91,87.33,452242.0,87.76,88.0,87.09,87.34,500820.0,87.54,88.02,87.05,87.68,622776.0,88.75,88.95,87.715,87.92,849589.0,88.54,89.17,87.75,88.27,710762.0,89.31,89.9,88.38,88.51,445548.0,89.46,89.62,88.82,89.0,526785.0,88.78,89.12,88.4,89.09,1408862.0,87.82,88.83,87.51,88.75,627762.0,88.78,89.15,87.63,87.75,414978.0,87.47,88.04,86.99,87.88,473755.0,88.35,88.4,87.19,87.66,632503.0,87.5,88.61,87.13,88.35,590679.0,87.35,88.0,87.05,87.61,685807.0,88.59,88.63,87.25,87.58,938964.0,87.32,88.915,87.12,88.68,1298683.0,86.76,87.61,85.76,87.4,904098.0,85.21,87.89,85.21,86.87,891091.0,84.61,85.52,84.5,85.32,488370.0,85.16,85.31,84.34,84.64,647907.0,84.45,85.3,84.12,85.17,734087.0,84.62,84.85,83.95,84.41,614868.0,83.42,84.6,83.36,84.31,831688.0,84.58,84.6,83.245,83.76,1048035.0,84.5,84.79,83.615,84.12,680598.0,82.74,84.34,82.54,84.0,610322.0,83.63,84.42,82.66,83.16,655183.0,82.36,83.76,82.11,83.68,1311543.0,80.81,82.02,80.73,82.01,1387520.0,79.53,80.94,79.2,80.74,995876.0,78.03,79.85,77.7,79.69,3226960.0,81.78,82.12,80.7,80.99,1778326.0,81.08,81.99,80.93,81.84,848545.0,79.35,80.38,79.35,80.35,650189.0,79.46,80.25,79.0,79.34,586609.0,77.67,79.64,77.291,78.97,917630.0,78.83,78.92,76.73,78.17,1008178.0,79.41,80.66,79.28,80.0,816768.0,79.45,80.14,79.05,79.08,400654.0,80.0,80.74,79.59,79.61,438062.0,80.38,80.83,79.55,79.86,601770.0,79.66,80.44,78.97,80.44,866725.0,80.69,80.91,79.48,79.48,441999.0,81.17,81.56,80.97,81.09,680149.0,1
84.95,86.75,84.785,85.07,610281.0,86.26,86.58,84.57,84.98,539265.0,85.84,86.43,85.11,85.15,630877.0,86.63,87.11,86.05,86.23,615943.0,88.91,89.0,86.58,86.6,683989.0,87.57,88.93,87.31,88.85,522947.0,87.49,88.32,87.2101,88.27,522156.0,87.35,87.88,86.91,87.33,452242.0,87.76,88.0,87.09,87.34,500820.0,87.54,88.02,87.05,87.68,622776.0,88.75,88.95,87.715,87.92,849589.0,88.54,89.17,87.75,88.27,710762.0,89.31,89.9,88.38,88.51,445548.0,89.46,89.62,88.82,89.0,526785.0,88.78,89.12,88.4,89.09,1408862.0,87.82,88.83,87.51,88.75,627762.0,88.78,89.15,87.63,87.75,414978.0,87.47,88.04,86.99,87.88,473755.0,88.35,88.4,87.19,87.66,632503.0,87.5,88.61,87.13,88.35,590679.0,87.35,88.0,87.05,87.61,685807.0,88.59,88.63,87.25,87.58,938964.0,87.32,88.915,87.12,88.68,1298683.0,86.76,87.61,85.76,87.4,904098.0,85.21,87.89,85.21,86.87,891091.0,84.61,85.52,84.5,85.32,488370.0,85.16,85.31,84.34,84.64,647907.0,84.45,85.3,84.12,85.17,734087.0,84.62,84.85,83.95,84.41,614868.0,83.42,84.6,83.36,84.31,831688.0,84.58,84.6,83.245,83.76,1048035.0,84.5,84.79,83.615,84.12,680598.0,82.74,84.34,82.54,84.0,610322.0,83.63,84.42,82.66,83.16,655183.0,82.36,83.76,82.11,83.68,1311543.0,80.81,82.02,80.73,82.01,1387520.0,79.53,80.94,79.2,80.74,995876.0,78.03,79.85,77.7,79.69,3226960.0,81.78,82.12,80.7,80.99,1778326.0,81.08,81.99,80.93,81.84,848545.0,79.35,80.38,79.35,80.35,650189.0,79.46,80.25,79.0,79.34,586609.0,77.67,79.64,77.291,78.97,917630.0,78.83,78.92,76.73,78.17,1008178.0,79.41,80.66,79.28,80.0,816768.0,79.45,80.14,79.05,79.08,400654.0,80.0,80.74,79.59,79.61,438062.0,80.38,80.83,79.55,79.86,601770.0,79.66,80.44,78.97,80.44,866725.0,80.69,80.91,79.48,79.48,441999.0,1
85.54,86.63,84.8,86.08,804561.0,84.95,86.75,84.785,85.07,610281.0,86.26,86.58,84.57,84.98,539265.0,85.84,86.43,85.11,85.15,630877.0,86.63,87.11,86.05,86.23,615943.0,88.91,89.0,86.58,86.6,683989.0,87.57,88.93,87.31,88.85,522947.0,87.49,88.32,87.2101,88.27,522156.0,87.35,87.88,86.91,87.33,452242.0,87.76,88.0,87.09,87.34,500820.0,87.54,88.02,87.05,87.68,622776.0,88.75,88.95,87.715,87.92,849589.0,88.54,89.17,87.75,88.27,710762.0,89.31,89.9,88.38,88.51,445548.0,89.46,89.62,88.82,89.0,526785.0,88.78,89.12,88.4,89.09,1408862.0,87.82,88.83,87.51,88.75,627762.0,88.78,89.15,87.63,87.75,414978.0,87.47,88.04,86.99,87.88,473755.0,88.35,88.4,87.19,87.66,632503.0,87.5,88.61,87.13,88.35,590679.0,87.35,88.0,87.05,87.61,685807.0,88.59,88.63,87.25,87.58,938964.0,87.32,88.915,87.12,88.68,1298683.0,86.76,87.61,85.76,87.4,904098.0,85.21,87.89,85.21,86.87,891091.0,84.61,85.52,84.5,85.32,488370.0,85.16,85.31,84.34,84.64,647907.0,84.45,85.3,84.12,85.17,734087.0,84.62,84.85,83.95,84.41,614868.0,83.42,84.6,83.36,84.31,831688.0,84.58,84.6,83.245,83.76,1048035.0,84.5,84.79,83.615,84.12,680598.0,82.74,84.34,82.54,84.0,610322.0,83.63,84.42,82.66,83.16,655183.0,82.36,83.76,82.11,83.68,1311543.0,80.81,82.02,80.73,82.01,1387520.0,79.53,80.94,79.2,80.74,995876.0,78.03,79.85,77.7,79.69,3226960.0,81.78,82.12,80.7,80.99,1778326.0,81.08,81.99,80.93,81.84,848545.0,79.35,80.38,79.35,80.35,650189.0,79.46,80.25,79.0,79.34,586609.0,77.67,79.64,77.291,78.97,917630.0,78.83,78.92,76.73,78.17,1008178.0,79.41,80.66,79.28,80.0,816768.0,79.45,80.14,79.05,79.08,400654.0,80.0,80.74,79.59,79.61,438062.0,80.38,80.83,79.55,79.86,601770.0,79.66,80.44,78.97,80.44,866725.0,1
86.85,87.18,85.79,87.17,719108.0,85.54,86.63,84.8,86.08,804561.0,84.95,86.75,84.785,85.07,610281.0,86.26,86.58,84.57,84.98,539265.0,85.84,86.43,85.11,85.15,630877.0,86.63,87.11,86.05,86.23,615943.0,88.91,89.0,86.58,86.6,683989.0,87.57,88.93,87.31,88.85,522947.0,87.49,88.32,87.2101,88.27,522156.0,87.35,87.88,86.91,87.33,452242.0,87.76,88.0,87.09,87.34,500820.0,87.54,88.02,87.05,87.68,622776.0,88.75,88.95,87.715,87.92,849589.0,88.54,89.17,87.75,88.27,710762.0,89.31,89.9,88.38,88.51,445548.0,89.46,89.62,88.82,89.0,526785.0,88.78,89.12,88.4,89.09,1408862.0,87.82,88.83,87.51,88.75,627762.0,88.78,89.15,87.63,87.75,414978.0,87.47,88.04,86.99,87.88,473755.0,88.35,88.4,87.19,87.66,632503.0,87.5,88.61,87.13,88.35,590679.0,87.35,88.0,87.05,87.61,685807.0,88.59,88.63,87.25,87.58,938964.0,87.32,88.915,87.12,88.68,1298683.0,86.76,87.61,85.76,87.4,904098.0,85.21,87.89,85.21,86.87,891091.0,84.61,85.52,84.5,85.32,488370.0,85.16,85.31,84.34,84.64,647907.0,84.45,85.3,84.12,85.17,734087.0,84.62,84.85,83.95,84.41,614868.0,83.42,84.6,83.36,84.31,831688.0,84.58,84.6,83.245,83.76,1048035.0,84.5,84.79,83.615,84.12,680598.0,82.74,84.34,82.54,84.0,610322.0,83.63,84.42,82.66,83.16,655183.0,82.36,83.76,82.11,83.68,1311543.0,80.81,82.02,80.73,82.01,1387520.0,79.53,80.94,79.2,80.74,995876.0,78.03,79.85,77.7,79.69,3226960.0,81.78,82.12,80.7,80.99,1778326.0,81.08,81.99,80.93,81.84,848545.0,79.35,80.38,79.35,80.35,650189.0,79.46,80.25,79.0,79.34,586609.0,77.67,79.64,77.291,78.97,917630.0,78.83,78.92,76.73,78.17,1008178.0,79.41,80.66,79.28,80.0,816768.0,79.45,80.14,79.05,79.08,400654.0,80.0,80.74,79.59,79.61,438062.0,80.38,80.83,79.55,79.86,601770.0,1
87.61,88.496,87.12,88.04,1131517.0,86.85,87.18,85.79,87.17,719108.0,85.54,86.63,84.8,86.08,804561.0,84.95,86.75,84.785,85.07,610281.0,86.26,86.58,84.57,84.98,539265.0,85.84,86.43,85.11,85.15,630877.0,86.63,87.11,86.05,86.23,615943.0,88.91,89.0,86.58,86.6,683989.0,87.57,88.93,87.31,88.85,522947.0,87.49,88.32,87.2101,88.27,522156.0,87.35,87.88,86.91,87.33,452242.0,87.76,88.0,87.09,87.34,500820.0,87.54,88.02,87.05,87.68,622776.0,88.75,88.95,87.715,87.92,849589.0,88.54,89.17,87.75,88.27,710762.0,89.31,89.9,88.38,88.51,445548.0,89.46,89.62,88.82,89.0,526785.0,88.78,89.12,88.4,89.09,1408862.0,87.82,88.83,87.51,88.75,627762.0,88.78,89.15,87.63,87.75,414978.0,87.47,88.04,86.99,87.88,473755.0,88.35,88.4,87.19,87.66,632503.0,87.5,88.61,87.13,88.35,590679.0,87.35,88.0,87.05,87.61,685807.0,88.59,88.63,87.25,87.58,938964.0,87.32,88.915,87.12,88.68,1298683.0,86.76,87.61,85.76,87.4,904098.0,85.21,87.89,85.21,86.87,891091.0,84.61,85.52,84.5,85.32,488370.0,85.16,85.31,84.34,84.64,647907.0,84.45,85.3,84.12,85.17,734087.0,84.62,84.85,83.95,84.41,614868.0,83.42,84.6,83.36,84.31,831688.0,84.58,84.6,83.245,83.76,1048035.0,84.5,84.79,83.615,84.12,680598.0,82.74,84.34,82.54,84.0,610322.0,83.63,84.42,82.66,83.16,655183.0,82.36,83.76,82.11,83.68,1311543.0,80.81,82.02,80.73,82.01,1387520.0,79.53,80.94,79.2,80.74,995876.0,78.03,79.85,77.7,79.69,3226960.0,81.78,82.12,80.7,80.99,1778326.0,81.08,81.99,80.93,81.84,848545.0,79.35,80.38,79.35,80.35,650189.0,79.46,80.25,79.0,79.34,586609.0,77.67,79.64,77.291,78.97,917630.0,78.83,78.92,76.73,78.17,1008178.0,79.41,80.66,79.28,80.0,816768.0,79.45,80.14,79.05,79.08,400654.0,80.0,80.74,79.59,79.61,438062.0,1
88.04,88.88,87.94,88.6,432856.0,87.61,88.496,87.12,88.04,1131517.0,86.85,87.18,85.79,87.17,719108.0,85.54,86.63,84.8,86.08,804561.0,84.95,86.75,84.785,85.07,610281.0,86.26,86.58,84.57,84.98,539265.0,85.84,86.43,85.11,85.15,630877.0,86.63,87.11,86.05,86.23,615943.0,88.91,89.0,86.58,86.6,683989.0,87.57,88.93,87.31,88.85,522947.0,87.49,88.32,87.2101,88.27,522156.0,87.35,87.88,86.91,87.33,452242.0,87.76,88.0,87.09,87.34,500820.0,87.54,88.02,87.05,87.68,622776.0,88.75,88.95,87.715,87.92,849589.0,88.54,89.17,87.75,88.27,710762.0,89.31,89.9,88.38,88.51,445548.0,89.46,89.62,88.82,89.0,526785.0,88.78,89.12,88.4,89.09,1408862.0,87.82,88.83,87.51,88.75,627762.0,88.78,89.15,87.63,87.75,414978.0,87.47,88.04,86.99,87.88,473755.0,88.35,88.4,87.19,87.66,632503.0,87.5,88.61,87.13,88.35,590679.0,87.35,88.0,87.05,87.61,685807.0,88.59,88.63,87.25,87.58,938964.0,87.32,88.915,87.12,88.68,1298683.0,86.76,87.61,85.76,87.4,904098.0,85.21,87.89,85.21,86.87,891091.0,84.61,85.52,84.5,85.32,488370.0,85.16,85.31,84.34,84.64,647907.0,84.45,85.3,84.12,85.17,734087.0,84.62,84.85,83.95,84.41,614868.0,83.42,84.6,83.36,84.31,831688.0,84.58,84.6,83.245,83.76,1048035.0,84.5,84.79,83.615,84.12,680598.0,82.74,84.34,82.54,84.0,610322.0,83.63,84.42,82.66,83.16,655183.0,82.36,83.76,82.11,83.68,1311543.0,80.81,82.02,80.73,82.01,1387520.0,79.53,80.94,79.2,80.74,995876.0,78.03,79.85,77.7,79.69,3226960.0,81.78,82.12,80.7,80.99,1778326.0,81.08,81.99,80.93,81.84,848545.0,79.35,80.38,79.35,80.35,650189.0,79.46,80.25,79.0,79.34,586609.0,77.67,79.64,77.291,78.97,917630.0,78.83,78.92,76.73,78.17,1008178.0,79.41,80.66,79.28,80.0,816768.0,79.45,80.14,79.05,79.08,400654.0,0
88.7,88.8499,87.47,87.75,413935.0,88.04,88.88,87.94,88.6,432856.0,87.61,88.496,87.12,88.04,1131517.0,86.85,87.18,85.79,87.17,719108.0,85.54,86.63,84.8,86.08,804561.0,84.95,86.75,84.785,85.07,610281.0,86.26,86.58,84.57,84.98,539265.0,85.84,86.43,85.11,85.15,630877.0,86.63,87.11,86.05,86.23,615943.0,88.91,89.0,86.58,86.6,683989.0,87.57,88.93,87.31,88.85,522947.0,87.49,88.32,87.2101,88.27,522156.0,87.35,87.88,86.91,87.33,452242.0,87.76,88.0,87.09,87.34,500820.0,87.54,88.02,87.05,87.68,622776.0,88.75,88.95,87.715,87.92,849589.0,88.54,89.17,87.75,88.27,710762.0,89.31,89.9,88.38,88.51,445548.0,89.46,89.62,88.82,89.0,526785.0,88.78,89.12,88.4,89.09,1408862.0,87.82,88.83,87.51,88.75,627762.0,88.78,89.15,87.63,87.75,414978.0,87.47,88.04,86.99,87.88,473755.0,88.35,88.4,87.19,87.66,632503.0,87.5,88.61,87.13,88.35,590679.0,87.35,88.0,87.05,87.61,685807.0,88.59,88.63,87.25,87.58,938964.0,87.32,88.915,87.12,88.68,1298683.0,86.76,87.61,85.76,87.4,904098.0,85.21,87.89,85.21,86.87,891091.0,84.61,85.52,84.5,85.32,488370.0,85.16,85.31,84.34,84.64,647907.0,84.45,85.3,84.12,85.17,734087.0,84.62,84.85,83.95,84.41,614868.0,83.42,84.6,83.36,84.31,831688.0,84.58,84.6,83.245,83.76,1048035.0,84.5,84.79,83.615,84.12,680598.0,82.74,84.34,82.54,84.0,610322.0,83.63,84.42,82.66,83.16,655183.0,82.36,83.76,82.11,83.68,1311543.0,80.81,82.02,80.73,82.01,1387520.0,79.53,80.94,79.2,80.74,995876.0,78.03,79.85,77.7,79.69,3226960.0,81.78,82.12,80.7,80.99,1778326.0,81.08,81.99,80.93,81.84,848545.0,79.35,80.38,79.35,80.35,650189.0,79.46,80.25,79.0,79.34,586609.0,77.67,79.64,77.291,78.97,917630.0,78.83,78.92,76.73,78.17,1008178.0,79.41,80.66,79.28,80.0,816768.0,1
