Date,Open,High,Low,Close,Volume,Adj_Close
4/29/16,27.72,27.83,27.14,27.49,33890149,27.49
4/28/16,28.45,28.59,27.79,27.96,29616182,27.96
4/27/16,28.44,28.65,28.31,28.64,20930999,28.64
4/26/16,28.27,28.49,28.215,28.45,18151544,28.45
4/25/16,28.11,28.28,27.98,28.23,16434811,28.23
4/22/16,28.3,28.55,28.07,28.15,23147609,28.15
4/21/16,28.42,28.51,28.16,28.24,17339866,28.24
4/20/16,28.4,28.68,28.255,28.44,19937778,28.44
4/19/16,28.33,28.44,28.2,28.33,20307744,28.33
4/18/16,27.9,28.25,27.8,28.19,15762894,28.19
4/15/16,28.1,28.13,27.73,27.9,23804382,27.9
4/14/16,28.38,28.4,28.1,28.25,15049112,28.25
4/13/16,27.96,28.28,27.72,28.23,25433265,28.23
4/12/16,27.14,27.66,26.95,27.64,27741441,27.64
4/11/16,27.88,28.18,27.61,27.62,18762887,27.62
4/8/16,27.71,27.945,27.58,27.69,14495574,27.69
4/7/16,27.9,27.9,27.53,27.6,17016844,27.6
4/6/16,27.7,28.04,27.62,28,20395805,28
4/5/16,27.64,27.83,27.46,27.58,24245658,27.58
4/4/16,28.37,28.41,28.01,28.14,17890041,28.14
4/1/16,28.3,28.7,28.1238,28.69,23026363,28.42734507
3/31/16,28.53,28.67,28.35,28.47,18377563,28.20935915
3/30/16,28.34,28.68,28.26,28.46,19390162,28.1994507
3/29/16,27.87,28.19,27.69,28.1,17139330,27.84274648
3/28/16,27.99,28.025,27.785,27.9,12785874,27.64457746
3/24/16,27.77,28.005,27.59,27.96,15871866,27.70402817
3/23/16,28.26,28.275,27.73,27.83,19217486,27.57521831
3/22/16,28.2,28.38,27.9,28.28,23599299,28.02109859
3/21/16,28.1,28.35,28.04,28.19,23799234,27.93192254
3/18/16,28.23,28.38,27.97,28.33,43132365,28.07064085
3/17/16,27.92,28.44,27.87,28.19,28501857,27.93192254
3/16/16,27.52,27.945,27.51,27.88,19087842,27.62476056
3/15/16,27.48,27.69,27.45,27.66,16917163,27.40677465
3/14/16,27.82,27.86,27.6,27.7,18291719,27.44640845
3/11/16,27.82,27.91,27.67,27.86,21873085,27.60494366
3/10/16,27.76,27.98,27.03,27.38,33327333,27.12933803
3/9/16,27.24,27.8,27.12,27.61,38890209,27.35723239
3/8/16,26.97,27.299,26.69,27.05,23474666,26.80235915
3/7/16,26.58,27.18,26.33,27.14,21549496,26.89153521
3/4/16,26.915,26.96,26.67,26.8,19429859,26.55464789
3/3/16,26.95,26.97,26.59,26.87,19002244,26.62400704
3/2/16,26.8,26.91,26.6,26.9,19020058,26.65373239
3/1/16,26.45,26.93,26.235,26.83,25245390,26.58437324
2/29/16,26.42,26.65,26.15,26.18,24763106,25.94032394
2/26/16,26.8,26.85,26.32,26.41,18113041,26.16821831
2/25/16,26.49,26.6,26.2,26.6,18655096,26.35647887
2/24/16,25.89,26.33,25.65,26.32,22960773,26.07904225
2/23/16,26.54,26.54,26.0646,26.12,28097508,25.88087324
2/22/16,26.87,26.9132,26.42,26.63,24608129,26.38620423
2/19/16,26.27,26.56,26.25,26.55,28791720,26.30693662
2/18/16,26.4405,26.5768,26.28,26.43,31288180,26.18803521
2/17/16,26.17,26.59,26.08,26.46,36904695,26.21776056
2/16/16,25.27,25.98,25.19,25.84,40401697,25.60343662
2/12/16,24.89,25.36,24.52,25.11,49753603,24.88011972
2/11/16,24.09,24.97,24.09,24.68,92695952,24.45405634
2/10/16,23.13,23.13,22.46,22.51,36896116,22.30392254
2/9/16,22.6,22.86,22.53,22.65,30767214,22.44264085
2/8/16,22.63,23.02,22.48,22.93,38842141,22.72007746
2/5/16,23.51,23.66,22.81,22.89,32640975,22.68044366
2/4/16,23.17,23.57,22.93,23.54,29280471,23.32449296
2/3/16,23.09,23.18,22.58,23.1,32231426,22.88852113
2/2/16,23.23,23.25,22.73,22.83,36203661,22.62099296
2/1/16,23.46,23.57,23.23,23.48,24006389,23.26504225
1/29/16,23.4,23.8,23.2,23.79,39692550,23.57220423
