Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
4/29/16,81.99,82.03,80.57,81.18,957066,0,1,81.99,82.03,80.57,81.18,957066
4/28/16,82.94,85.52,82.07,82.43,1469246,0,1,82.94,85.52,82.07,82.43,1469246
4/27/16,84.51,85.25,84,84.86,816398,0,1,84.51,85.25,84,84.86,816398
4/26/16,84.83,85.14,83.86,84.26,578476,0,1,84.83,85.14,83.86,84.26,578476
4/25/16,84.96,85.44,84.4,84.61,457460,0,1,84.96,85.44,84.4,84.61,457460
4/22/16,85,85.71,84.525,85.17,445964,0,1,85,85.71,84.525,85.17,445964
4/21/16,85.46,86.1,84.57,85.01,656907,0,1,85.46,86.1,84.57,85.01,656907
4/20/16,85.17,85.97,84.27,85.63,680556,0,1,85.17,85.97,84.27,85.63,680556
4/19/16,85.2,85.65,84.75,85.12,644327,0,1,85.2,85.65,84.75,85.12,644327
4/18/16,83.98,85.13,83.005,85.01,584924,0,1,83.98,85.13,83.005,85.01,584924
4/15/16,83.66,83.99,83.35,83.93,918966,0,1,83.66,83.99,83.35,83.93,918966
4/14/16,82.66,83.8,82.57,83.5,673160,0,1,82.66,83.8,82.57,83.5,673160
4/13/16,81.68,82.9588,81.65,82.79,514525,0,1,81.68,82.9588,81.65,82.79,514525
4/12/16,80.34,81.42,79.91,81.21,405770,0,1,80.34,81.42,79.91,81.21,405770
4/11/16,80.38,80.81,80.2,80.24,387523,0,1,80.38,80.81,80.2,80.24,387523
4/8/16,80.66,80.76,79.8,80.12,323384,0,1,80.66,80.76,79.8,80.12,323384
4/7/16,81.31,81.46,80.02,80.41,489367,0,1,81.31,81.46,80.02,80.41,489367
4/6/16,80.58,81.9,80.46,81.89,569026,0,1,80.58,81.9,80.46,81.89,569026
4/5/16,81.34,81.65,80.51,80.62,380287,0,1,81.34,81.65,80.51,80.62,380287
4/4/16,81.5,82.62,81.24,82.05,657796,0,1,81.5,82.62,81.24,82.05,657796
4/1/16,79.74,81.32,79.32,81.15,503189,0,1,79.74,81.32,79.32,81.15,503189
3/31/16,79.71,80.4,79.64,80.02,723446,0,1,79.71,80.4,79.64,80.02,723446
3/30/16,80.06,80.1814,79.54,79.8,409826,0,1,80.06,80.1814,79.54,79.8,409826
3/29/16,77.97,79.58,77.95,79.53,404111,0,1,77.97,79.58,77.95,79.53,404111
3/28/16,78.03,78.125,77.53,77.94,293278,0,1,78.03,78.125,77.53,77.94,293278
3/24/16,78.02,78.16,77.17,77.73,392419,0,1,78.02,78.16,77.17,77.73,392419
3/23/16,79.4,79.4,78.58,78.69,446097,0,1,79.4,79.4,78.58,78.69,446097
3/22/16,78.46,79.57,78.41,79.42,407604,0,1,78.46,79.57,78.41,79.42,407604
3/21/16,78.7,79.27,78.45,78.76,503502,0,1,78.7,79.27,78.45,78.76,503502
3/18/16,77.12,79.22,76.7,78.97,984762,0,1,77.12,79.22,76.7,78.97,984762
3/17/16,77.38,77.71,75.92,76.73,675635,0,1,77.38,77.71,75.92,76.73,675635
3/16/16,77.58,78.2,77.1,77.42,615351,0,1,77.58,78.2,77.1,77.42,615351
3/15/16,78.42,78.58,77.59,77.7,586798,0,1,78.42,78.58,77.59,77.7,586798
3/14/16,78.92,79.549,78.64,79.03,409962,0,1,78.92,79.549,78.64,79.03,409962
3/11/16,78.11,79.48,77.66,79.26,1144089,0,1,78.11,79.48,77.66,79.26,1144089
3/10/16,78.09,78.65,77.06,77.72,770077,0,1,78.09,78.65,77.06,77.72,770077
3/9/16,79.68,79.68,77.86,78.03,1011432,0,1,79.68,79.68,77.86,78.03,1011432
3/8/16,79.1,79.73,78.789,79.47,815547,0,1,79.1,79.73,78.789,79.47,815547
3/7/16,78.84,80,78.37,79.7,465301,0,1,78.84,80,78.37,79.7,465301
3/4/16,79.05,79.78,78.88,79.21,336932,0,1,79.05,79.78,78.88,79.21,336932
