Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2016-04-29,81.99,82.03,80.57,81.18,957066.0,0.0,1.0,81.99,82.03,80.57,81.18,957066.0
2016-04-28,82.94,85.52,82.07,82.43,1469246.0,0.0,1.0,82.94,85.52,82.07,82.43,1469246.0
2016-04-27,84.51,85.25,84.0,84.86,816398.0,0.0,1.0,84.51,85.25,84.0,84.86,816398.0
2016-04-26,84.83,85.14,83.86,84.26,578476.0,0.0,1.0,84.83,85.14,83.86,84.26,578476.0
2016-04-25,84.96,85.44,84.4,84.61,457460.0,0.0,1.0,84.96,85.44,84.4,84.61,457460.0
2016-04-22,85.0,85.71,84.525,85.17,445964.0,0.0,1.0,85.0,85.71,84.525,85.17,445964.0
2016-04-21,85.46,86.1,84.57,85.01,656907.0,0.0,1.0,85.46,86.1,84.57,85.01,656907.0
2016-04-20,85.17,85.97,84.27,85.63,680556.0,0.0,1.0,85.17,85.97,84.27,85.63,680556.0
2016-04-19,85.2,85.65,84.75,85.12,644327.0,0.0,1.0,85.2,85.65,84.75,85.12,644327.0
2016-04-18,83.98,85.13,83.005,85.01,584924.0,0.0,1.0,83.98,85.13,83.005,85.01,584924.0
2016-04-15,83.66,83.99,83.35,83.93,918966.0,0.0,1.0,83.66,83.99,83.35,83.93,918966.0
2016-04-14,82.66,83.8,82.57,83.5,673160.0,0.0,1.0,82.66,83.8,82.57,83.5,673160.0
2016-04-13,81.68,82.9588,81.65,82.79,514525.0,0.0,1.0,81.68,82.9588,81.65,82.79,514525.0
2016-04-12,80.34,81.42,79.91,81.21,405770.0,0.0,1.0,80.34,81.42,79.91,81.21,405770.0
2016-04-11,80.38,80.81,80.2,80.24,387523.0,0.0,1.0,80.38,80.81,80.2,80.24,387523.0
2016-04-08,80.66,80.76,79.8,80.12,323384.0,0.0,1.0,80.66,80.76,79.8,80.12,323384.0
2016-04-07,81.31,81.46,80.02,80.41,489367.0,0.0,1.0,81.31,81.46,80.02,80.41,489367.0
2016-04-06,80.58,81.9,80.46,81.89,569026.0,0.0,1.0,80.58,81.9,80.46,81.89,569026.0
