Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
4/29/16,146.49,147.34,144.191,145.94,4225790,0,1,146.49,147.34,144.191,145.94,4225790
4/28/16,149.75,150.18,146.725,147.07,3791337,0,1,149.75,150.18,146.725,147.07,3791337
4/27/16,149.35,150.78,148.97,150.47,3110789,0,1,149.35,150.78,148.97,150.47,3110789
4/26/16,148.65,149.79,147.9,149.08,2979699,0,1,148.65,149.79,147.9,149.08,2979699
4/25/16,148.16,148.9,147.11,148.81,2848935,0,1,148.16,148.9,147.11,148.81,2848935
4/22/16,149.44,151,147.5,148.5,5191802,0,1,149.44,151,147.5,148.5,5191802
4/21/16,146.58,150.12,146.46,149.3,6015526,0,1,146.58,150.12,146.46,149.3,6015526
4/20/16,144.24,147.2,144,146.11,6754189,0,1,144.24,147.2,144,146.11,6754189
4/19/16,146.47,146.95,142.61,144,13188308,0,1,146.47,146.95,142.61,144,13188308
4/18/16,151.75,153.14,151.49,152.53,6538819,0,1,151.75,153.14,151.49,152.53,6538819
4/15/16,151.04,152.1,150.96,151.72,3657466,0,1,151.04,152.1,150.96,151.72,3657466
4/14/16,151.5,152.76,150.38,151.16,3176300,0,1,151.5,152.76,150.38,151.16,3176300
4/13/16,150.75,151.23,149.63,151.23,3167970,0,1,150.75,151.23,149.63,151.23,3167970
4/12/16,149.61,150.11,148.58,149.63,3595549,0,1,149.61,150.11,148.58,149.63,3595549
4/11/16,150.26,151.95,149.22,149.25,3845918,0,1,150.26,151.95,149.22,149.25,3845918
4/8/16,149.06,149.99,148.12,149.35,3293512,0,1,149.06,149.99,148.12,149.35,3293512
4/7/16,149.07,149.6,148,148.25,3662508,0,1,149.07,149.6,148,148.25,3662508
4/6/16,149.9,150.15,147.81,150.02,4194265,0,1,149.9,150.15,147.81,150.02,4194265
4/5/16,151.43,151.6,149.65,150,3336952,0,1,151.43,151.6,149.65,150,3336952
4/4/16,152.34,153.52,151.91,152.07,3930319,0,1,152.34,153.52,151.91,152.07,3930319
4/1/16,150.51,152.96,150.25,152.52,3925181,0,1,150.51,152.96,150.25,152.52,3925181
3/31/16,149.79,153.1,149.36,151.45,6780132,0,1,149.79,153.1,149.36,151.45,6780132
3/30/16,149.95,150.41,148.32,148.41,3330841,0,1,149.95,150.41,148.32,148.41,3330841
3/29/16,147.59,149.76,147.5,149.33,3138545,0,1,147.59,149.76,147.5,149.33,3138545
3/28/16,147.75,148.65,147.23,148.4,3265084,0,1,147.75,148.65,147.23,148.4,3265084
3/24/16,144.98,148.22,144.49,147.95,5044335,0,1,144.98,148.22,144.49,147.95,5044335
3/23/16,148,148.03,145.13,145.4,4763987,0,1,148,148.03,145.13,145.4,4763987
3/22/16,148.06,149.28,147.84,148.1,4081924,0,1,148.06,149.28,147.84,148.1,4081924
3/21/16,147.3,148.71,146.7201,148.63,3721463,0,1,147.3,148.71,146.7201,148.63,3721463
3/18/16,147.4,147.51,145.51,147.09,12088126,0,1,147.4,147.51,145.51,147.09,12088126
3/17/16,144.78,147.32,144.45,147.04,5821180,0,1,144.78,147.32,144.45,147.04,5821180
3/16/16,142.62,144.88,142.11,144.79,4221939,0,1,142.62,144.88,142.11,144.79,4221939
3/15/16,141.74,143.33,141.54,142.96,3707538,0,1,141.74,143.33,141.54,142.96,3707538
3/14/16,142.01,143.19,141.04,142.78,4047634,0,1,142.01,143.19,141.04,142.78,4047634
3/11/16,141.73,142.9236,140.51,142.36,4421748,0,1,141.73,142.9236,140.51,142.36,4421748
3/10/16,141.24,141.47,138.09,140.19,4020024,0,1,141.24,141.47,138.09,140.19,4020024
3/9/16,139.31,142.17,139.23,140.41,4406304,0,1,139.31,142.17,139.23,140.41,4406304
3/8/16,139.71,140.35,137.42,139.07,5537856,0,1,139.71,140.35,137.42,139.07,5537856
3/7/16,137.28,140.51,136.8718,140.15,5170228,0,1,137.28,140.51,136.8718,140.15,5170228
3/4/16,137.535,139.42,137.02,137.8,3968423,0,1,137.535,139.42,137.02,137.8,3968423
3/3/16,137.22,137.9602,136.07,137.8,5155978,0,1,137.22,137.9602,136.07,137.8,5155978
3/2/16,133.7,137.44,133.22,136.3,5217230,0,1,133.7,137.44,133.22,136.3,5217230
3/1/16,132.24,134.64,132.03,134.37,3788084,0,1,132.24,134.64,132.03,134.37,3788084
2/29/16,132,133.36,130.9,131.03,4427472,0,1,132,133.36,130.9,131.03,4427472
2/26/16,134.51,134.92,131.95,132.03,4385699,0,1,134.51,134.92,131.95,132.03,4385699
2/25/16,133.29,134.51,130.88,134.5,4358205,0,1,133.29,134.51,130.88,134.5,4358205
